Year,Month,LicenseNo,PermitDate,ExpireDate,TariffCode,StatisticalCode,Buyer,BuyerCountryCode,BuyerCountryName,Seller,OriginCountryCode,OriginCountryName,BirthplaceCountryCode,BirthplaceCountryName,Vehicle,CustomPortCode,CustomPortName,Weight,WeightUnit,Quantity,QuantityUnit,PricePerUnit,CurrencyCode,CurrencyName,ExchangeRate,TotalPrice,TotalPriceType,CompanyTaxNo,CompanyName
2565,9,WTO-22090073-22090069,21:55.4,00:00.0,17019990,1,NULL,NULL,NULL,Patis France ,BE,BELGIUM,FR,FRANCE,AL DAHNA EXPRESS,2801,??????????????????????????????,0.1,TNE,10,BG,2,EUR,????,36.3918,7241.9682,FOB,1.06E+11,?????????????? (?????????) ?????
2565,8,WTO-22080062-22080061,37:09.4,00:00.0,17019100,2,NULL,NULL,NULL,GARRETT LICENSING LLC SHOPS,US,UNITED STATES,US,UNITED STATES,MSC SHANVI,2801,??????????????????????????????,19.278,TNE,850,BG,24,USD,???????????,36.8662,749720.2598,EX-WORK,1.06E+11,??????  ??????? ?????? (?????????) ?????
2565,9,WTO-22090070-22090067,12:05.3,00:00.0,17019990,1,NULL,NULL,NULL,Patis France ,BE,BELGIUM,FR,FRANCE,AL DAHNA EXPRESS,2801,??????????????????????????????,0.01,TNE,1,BG,2,EUR,????,36.3918,724.1968,FOB,1.06E+11,?????????????? (?????????) ?????
2565,5,WTO-22050029-22050029,01:49.6,00:00.0,17019910,3,NULL,NULL,NULL,MERCK KGaA,DE,GERMANY,DE,GERMANY,QR0836,1190,?????????????????,0.002,TNE,2,C62,1165,THB,???,1,2330.2,CPT,1.06E+11,?????? ?????? ?????
2565,3,WTO-22030015-22030015,43:03.4,00:00.0,17019910,3,NULL,NULL,NULL,MERCK KGaA,DE,GERMANY,DE,GERMANY,QR0836,1190,?????????????????,0.002,TNE,2,C62,1040,THB,???,1,2079.88,CPT,1.06E+11,?????? ?????? ?????
2565,2,WTO-22020004-22020004,37:56.7,00:00.0,17019100,2,NULL,NULL,NULL,"CaramelCrisp LLC, DBA GARRET POPCORN SHOPS (CARAMELCRISP)",US,UNITED STATES,US,UNITED STATES,CMA CGM MEDEA,2801,??????????????????????????????,19.287,TNE,850,BG,27,USD,???????????,33.7477,760884.0811,EX-WORK,1.06E+11,??????  ??????? ?????? (?????????) ?????
2565,2,WTO-22020007-22020007,56:41.0,00:00.0,17019910,3,NULL,NULL,NULL,MERCK KGaA,DE,GERMANY,DE,GERMANY,XJ921,1190,?????????????????,0.004,TNE,4,C62,1183,THB,???,1,4731.56,CPT,1.06E+11,?????? ?????? ?????
2565,2,WTO-22020010-22020010,58:32.4,00:00.0,17019910,3,NULL,NULL,NULL,MERCK KGaA,DE,GERMANY,DE,GERMANY,XJ921,1190,?????????????????,0.008,TNE,8,C62,1183,THB,???,1,9463.12,CPT,1.06E+11,?????? ?????? ?????
2565,2,WTO-22020005-22020005,16:52.8,00:00.0,17019100,1,NULL,NULL,NULL,SWEET HOME CANDIED PRODUCTS SDN BHD,MY,MALAYSIA,MY,MALAYSIA,OSAKA/V.894E,119,?????????????? ???.,5,TNE,250,BG,46,USD,???????????,33.2457,383987.835,CIF,1.05E+11,?????? ??????????? ??? ????????? ?????
2565,3,WTO-22030013-22030013,42:15.4,00:00.0,17019910,3,NULL,NULL,NULL,MERCK KGaA,DE,GERMANY,DE,GERMANY,QR0836,1190,?????????????????,0.008,TNE,8,C62,1040,THB,???,1,8319.52,CPT,1.06E+11,?????? ?????? ?????
