_id,PROVINCE_NAMETH,Sugarwhite,Sugarrefine,SugarWhitetotal,Sugarrawtotal,Sugartotal,SugarofCane,ProductionYear
1,นครราชสีมา,1153830.63,1872069.1,3025899.73,10070564.9,13497864.17,481.8323792,2565/66
2,กาญจนบุรี,1058926.5,2206862.2,3265788.7,4532983.5,7978075.768,859.9072377,2565/66
3,กำแพงเพชร,996964,476768.5,1473732.5,4366309.85,5943640.081,315.8094137,2565/66
4,มุกดาหาร,778753,,778753,463228.1,1241981.1,122.5414622,2565/66
5,นครสวรรค์,653803.02,502522.5,1156325.52,4797968.99,6015910.32,225.6308076,2565/66
6,อุทัยธานี,551192,392209.5,943401.5,3013412.82,4085878.74,222.486799,2565/66
7,ขอนแก่น,478046.9,1597273.8,2075320.7,3823581.08,6312971.279,245.431925,2565/66
8,สุพรรณบุรี,433928.66,1050351.31,1484279.97,3247082.37,5362909.563,341.5100052,2565/66
9,ชลบุรี,388669,267337.5,656006.5,625889.7,1372059.244,328.8199539,2565/66
10,ลพบุรี,370130.5,,370130.5,1921144.8,2399732.451,235.2981263,2565/66
11,ชัยภูมิ,323436.5,1076751.57,1400188.07,4894901.56,6386579.204,241.9746165,2565/66
12,สระบุรี,283722.6,696223.2,979945.8,1538582.78,2525628.222,116.8937203,2565/66
13,เพชรบูรณ์,266526.5,360149,626675.5,5603011.5,6445101.922,241.9848439,2565/66
14,สระแก้ว,262474.5,238990.5,501465,3711864,4213329,246.4227695,2565/66
15,ราชบุรี,249183,291683,540866,938604.23,1479470.23,221.5522295,2565/66
16,อุดรธานี,211885,804057,1015942,4636194.78,5713449.056,326.7532847,2565/66
17,สิงห์บุรี,152251.009,336436,488687.009,735600.12,1225094.451,119.5693099,2565/66
18,หนองบัวลำภู,144144.5,373138,517282.5,2829623.6,3346906.1,115.448253,2565/66
19,กาฬสินธุ์,142957.5,,142957.5,4288449.35,4646250.008,247.118408,2565/66
20,พิษณุโลก,125803,311574,437377,2203448.5,2666426.936,114.019789,2565/66
21,ประจวบคีรีขันธ์,119297,103431,222728,189217.2,411945.2,115.0121678,2565/66
22,อุตรดิตถ์,42404,244724.5,287128.5,1671062.7,1981154.459,120.3592408,2565/66
23,สุโขทัย,13426.5,63984,77410.5,2381793.28,2468243.66,126.055003,2565/66
24,สุรินทร์,7470,798766.26,806236.26,1137189.2,1943425.46,119.4258811,2565/66
25,เลย,,,,5818659.5,5908705.286,245.7484616,2565/66
26,บุรีรัมย์,,,,1988102.6,2389421.67,121.8404986,2565/66
27,มหาสารคาม,,,,533224.4,631354.758,115.5983755,2565/66
28,สกลนคร,,,,411069,441448.09,111.9379294,2565/66
29,อำนาจเจริญ,,,,1555283.9,1555283.9,129.9873498,2565/66
30,กาญจนบุรี,1517252.5,2075946.25,3593198.75,3174944.45,6969779.714,721.8715186,2564/65
31,นครราชสีมา,1198192,1558156.75,2756348.75,9188032.25,12109763.43,462.6001482,2564/65
32,นครสวรรค์,917572.89,268332.5,1185905.39,3185700.49,4402731.705,197.9810177,2564/65
33,กำแพงเพชร,784374,279041.5,1063415.5,3896299.26,5018834.489,291.1493534,2564/65
34,อุทัยธานี,710241.5,497180.5,1207422,2248788.23,3541153.654,192.8646998,2564/65
35,มุกดาหาร,692474,,692474,498210.7,1402406.2,120.0846,2564/65
36,ขอนแก่น,476032.4,1809328.25,2285360.65,3708797.13,6511689.25,245.1840511,2564/65
37,ราชบุรี,426972,348419,775391,559053.63,1334444.63,186.4391597,2564/65
38,สุพรรณบุรี,380876.01,901138.55,1282014.56,2463660.5,4525341.013,302.3906365,2564/65
39,อุดรธานี,376813,908858.2,1285671.2,5269260.21,6718639.814,330.0299053,2564/65
40,สระบุรี,322711,536173,858884,544003.1,1625566.489,99.26643966,2564/65
41,ชลบุรี,318506.5,215649,534155.5,579944.1,1190672.51,302.5916879,2564/65
42,ชัยภูมิ,304607,983881.25,1288488.25,4528675.22,5942351.964,228.6525964,2564/65
43,ประจวบคีรีขันธ์,214628,139076,353704,231772.9,585476.9,106.9833149,2564/65
44,กาฬสินธุ์,193523.5,1730,195253.5,5027758.33,5673856.458,250.4531757,2564/65
45,เพชรบูรณ์,186434.9,326097.25,512532.15,4868947.1,5553068.889,218.1998318,2564/65
46,สระแก้ว,105774.5,144814,250588.5,3301388.7,3634090.936,224.5435876,2564/65
47,ลพบุรี,102522,,102522,1305876.1,1423397.868,205.6387739,2564/65
48,สิงห์บุรี,89107.006,166499.5,255606.506,774707.98,1031118.428,105.3040338,2564/65
49,สุโขทัย,66588,376485.5,443073.5,1554881.37,2023311.123,116.528259,2564/65
50,อุตรดิตถ์,61147,234914,296061,1614516.6,1955514.726,114.0703053,2564/65
51,พิษณุโลก,37125,351558,388683,1338613.3,1782234.252,103.6481356,2564/65
52,สุรินทร์,32497.25,888394.11,920891.36,1133071.4,2053970.76,115.9425336,2564/65
53,หนองบัวลำภู,3113.5,18161.5,21275,3441765.3,3463040.3,113.3722829,2564/65
54,เลย,,,,5527773.6,5720222.783,234.541555,2564/65
55,บุรีรัมย์,,,,2740929.1,2863385.941,120.7466237,2564/65
56,มหาสารคาม,,,,525852.8,631827.606,120.156483,2564/65
57,สกลนคร,,,,374378.8,384848.3,110.1162628,2564/65
58,อำนาจเจริญ,,,,1494881.6,1494881.6,132.4256207,2564/65
59,กาญจนบุรี,1632327,1768117.1,3400444.1,2582146.27,6084878.96,798.7083781,2563/64
60,นครราชสีมา,1016915.25,1074053.75,2090969,5114220.3,7454557.464,355.0799091,2563/64
61,อุดรธานี,830601.25,819946.5,1650547.75,2457403.53,4173232.78,449.1287942,2563/64
62,นครสวรรค์,774830.89,100600.5,875431.39,2511698.4,3428692.699,208.0886279,2563/64
63,มุกดาหาร,677560,,677560,341187.4,1018747.4,118.9566079,2563/64
64,กำแพงเพชร,555345.67,408104.5,963450.17,3891226.4,5056499.57,298.2700547,2563/64
65,อุทัยธานี,434148.5,208471.5,642620,1957744.81,2689965.462,214.3270463,2563/64
66,ขอนแก่น,369373,1065399.2,1434772.2,2453811.26,4259788.188,245.3201446,2563/64
67,ราชบุรี,312419,427530,739949,471249.23,1211198.23,207.7775698,2563/64
68,สระบุรี,306801.5,530546.75,837348.25,339472.42,1375700.22,117.1296815,2563/64
69,ชลบุรี,297607.5,295429,593036.5,573105.9,1250903.9,322.5224182,2563/64
70,ชัยภูมิ,266563,603506.32,870069.32,3684838.95,4721475.37,232.4416297,2563/64
71,สุพรรณบุรี,245036.57,543784.6,788821.17,1996826.27,3274300.912,306.3079965,2563/64
72,สระแก้ว,205491.5,202940,408431.5,2877322.9,3379926.9,247.0601712,2563/64
73,กาฬสินธุ์,203667,,203667,2999825.7,3580495.95,250.4178622,2563/64
74,หนองบัวลำภู,170634.5,515016.5,685651,1879271.1,2564922.1,116.0572466,2563/64
